DOI,Äê·Ý,ID,ÂÛÎÄ,ÆÚ¿¯,Ñô¼«,Òõ¼«,µç½âÒº,ÀíÂÛÈÝÁ¿£¨mAh g-1£©,µçÁ÷ÃÜ¶È(mA g-1),³õÊ¼ÈÝÁ¿(mAh g-1),×î¸ßÈÝÁ¿(mAh g-1),·ÅµçµçÑ¹£¨vs.Mg/Mg2+£©,Ñ­»·È¦Êý,·ÅµçºóÈÝÁ¿(mAh g-1),ÈÝÁ¿±£³ÖÂÊ(%),ÎÂ¶È(¡æ),Ñ­»·È¦Êý,µç×è£¨¦¸£©,µ¥Î»Ãæ»ýÉÏµÄµçÁ÷ÃÜ¶È£¨mA cm-2£©,Ã¾ÍÑÀëÊ±µÄ¹ýµçÎ»(mV),Àë×Óµçµ¼ÂÊ(mS cm-1),µç»¯Ñ§´°¿Ú£¨V),¿âÂ×Ð§ÂÊ£¨%£©,ÌîÐ´ÈË,¸´ºËÈË
10.1016/j.mtener.2018.06.002,2018/6/23,MIB0042,Multi-dentate phenoxyimine magnesium chloride complex for magnesium battery electrolyte,Materials Today Energy,Ã¾°å/½ðÆ¬£¨¹¤×÷µç¼«£©¡¢ÒøË¿£¨²Î±Èµç¼«£©,,,,,,,,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1016/j.electacta.2018.04.200,2018/7/1,MIB0043,Electrochemical and structural investigations of different polymorphs of TiO2 in magnesium and hybrid lithium/magnesium batteries,Electrochimica Acta,Mg,TiO2,APC in THF,336,C/12,204,,,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1016/j.electacta.2018.04.200,2018/7/1,MIB0044,Electrochemical and structural investigations of different polymorphs of TiO2 in magnesium and hybrid lithium/magnesium batteries,Electrochimica Acta,Mg,Ë®ÈÈ·¨ÖÆ±¸TiO2,APC in THF,,C/12,231,,,,,,,,,,,,,,,
"10.1016/j.jpowsour.2019.03.049
",2019/3/20,MIB0045,Prototype rechargeable magnesium batteries using ionic liquid electrolytes,Journal of Power Sources,Mg,V2O5,?[Mg(BH4)2]0.3[N07TFSI]0.7?electrolyte,,20,140,140,,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1002/ente.201800777,2019/4/1,MIB0046,"Cu9S5 nanoflower cathode for Mg secondary batteries: 
high performance and reaction mechanism",Energy Technology,Mg,Cu9S,(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3,,50,136,200,,100,,93,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1002/ente.201800777,2019/4/1,MIB0047,"Cu9S5 nanoflower cathode for Mg secondary batteries: 
high performance and reaction mechanism",Energy Technology,Mg,Cu9S,(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3,,1000,,90,,,,,,,,,,,,,,
10.1002/ente.201800777,2019/4/1,MIB0048,"Cu9S5 nanoflower cathode for Mg secondary batteries: 
high performance and reaction mechanism",Energy Technology,Mg,Cu9S,(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3,,100,,,,80,168,,,,,,,,,,,
10.1002/cssc.201900225,2019/4/9,MIB0049,MgSc2Se4¡ªA Magnesium Solid Ionic Conductor for All-Solid-State Mg Batteries?,ChemSusChem,Mg,MgSc2Se4,0.4 M Mg[B(hfip)4]2 in DME,,10,40,,0.5-2.7,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1016/j.ensm.2019.11.012,2019/11/11,MIB0050,Rechargeable Mg metal batteries enabled by a protection layer formed in vivo,Energy Storage Materials,Mg,Ti3C2,?0.4?M GeCl4?in 0.5?M?Mg(TFSI)2/DME,,10,,,,30,87.8,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1016/j.ensm.2019.11.012,2019/11/11,MIB0051,Rechargeable Mg metal batteries enabled by a protection layer formed in vivo,Energy Storage Materials,Mg,Ti3C2,?0.4?M GeCl4?in 0.5?M?Mg(TFSI)2/DME,,50,,100,,,,,,,,,,,,,,
